QID,Question,Answer
1,What is the name of the project?,The project name is Jalaram Residency.
2,What is the Project ID?,The Project ID is 1021701317.
3,Where is Jalaram Residency located?,Jalaram Residency is located on the highway touch in Ahmedabad.
4,When is possession scheduled?,Possession is scheduled in the year 2027.
5,How many wings does the project have?,The project has 9 wings (A to I).
6,How many total flats are there in the project?,There are 504 flats in total across all wings.
7,How many floors are there per wing?,Each wing has 14 floors.
8,How many flats are there on each floor?,Each floor has 4 flats.
9,Which wings contain 4BHK apartments?,Wings D and I contain 4BHK apartments; the other wings are 3BHK.
10,What are the carpet areas for 3BHK and 4BHK units?,3BHK units have a carpet area of 2250 sq.ft. and 4BHK units have a carpet area of 3600 sq.ft.
11,What amenities are available at Jalaram Residency?,"The society offers a Gym, Children Park, Swimming Pool, Club House, and Theater."
12,Is there a swimming pool in the project?,"Yes, there is a swimming pool available for residents."
13,Is there a gym in the society?,"Yes, the society includes a gymnasium for residents."
14,Does the project have a children's play area?,"Yes, there is a children's park within the premises."
15,Is there a clubhouse available?,"Yes, the project has a clubhouse for social and recreational activities."
16,Is there a theater in the society?,"Yes, the society includes a dedicated theater for residents."
17,How many parking basements are provided?,The society provides two basement parking levels (Basement 1 and Basement 2).
18,Is visitor parking available?,"Yes, visitor parking is available on the ground floor."
19,Are elevators provided?,"Yes, automatic elevators are provided with a speed of 1 meter/second."
20,Are the amenities accessible to all residents?,"Yes, amenities such as the gym, pool, clubhouse, theater, and children's park are for residents' use."
21,Is parking allocated to residents?,"Yes, basement parking is allocated to residents. Visitor parking is separate on the ground floor."
22,Are there any common area maintenance charges?,"Yes, maintenance charges apply for common areas; exact charges depend on the management and will be shared at booking."
23,Is there a generator or backup power for elevators and common areas?,Backup power provisions are typically provided for common areas and essential services; confirm details with the sales team for specifics.
24,Does the project provide CCTV and security?,The project plans typically include security features like CCTV surveillance and security personnel; confirm final scope at booking.
25,Is the swimming pool indoor or outdoor?,Outdoor
26,What type of flooring is used in the apartments?,"Vitrified Tiles in Bedrooms, Drawing and Dining Room"
27,What type of windows are installed?,Sliding Aluminum Section
28,What is the main door specification?,Wooden Flush Door with Polished Veneer
29,What type of internal doors are provided?,Flush Doors with Oil Paint
30,What are the kitchen specifications?,Granite Platform with Ceramic Tile Dado and Stainless Steel Sink
31,What is the interior plaster finish?,Single Coat Mala
32,What is the exterior plaster finish?,Double Coat
33,What is the inside finish of the walls?,Putty Finish
34,What is the outside finish of the building?,Acrylic Paint
35,What type of sanitary ware is provided?,Wall Hung Water Closet and Basin
36,What are toilet fittings like?,Chrome Plated Fittings
37,What is the toilet flooring/dado specification?,Ceramic Tiles on Floor and Dado
38,What electrical switches and wires are used?,"ISI Modular Switches, ISI Wires, ISI MCB/ELCB"
39,Are MCB and ELCB provided?,"Yes, ISI make MCB/ELCB are provided as part of electrical safety measures."
40,Are kitchen platforms granite?,"Yes, kitchens are provided with granite platforms and ceramic tile dado."
41,Is a vitrified tile used in wash yards?,"Yes, vitrified tiles are used in wash yards as per the specifications in the dataset."
42,What is the Size for a 3BHK unit?,The synthetic price range for a 3BHK (carpet 2250 Sq.ft.)
43,What is the size for a 4BHK unit?,The synthetic price range for a 4BHK (carpet 3600 Sq.ft.)
44,How can I check flat availability?,You can check flat availability by contacting the sales team or checking the Flat_Details sheet in the dataset which lists status as Available/Booked/Hold.
